date,day_week,close,open,high,low,adj_close,var_day,volume
1981-08-19,3,130.49,0.0,131.2,128.99,130.49,0.29,39390000
1981-08-20,4,130.69,0.0,131.74,129.84,130.69,0.15,38270000
1981-08-21,5,129.23,0.0,131.06,128.7,129.23,-1.13,37670000
1981-08-24,1,125.5,0.0,128.59,125.02,125.5,-2.97,46750000
1981-08-25,2,125.13,0.0,125.77,123.0,125.13,-0.3,54600000
1981-08-26,3,124.96,0.0,126.17,123.99,124.96,-0.14,39980000
1981-08-27,4,123.51,0.0,125.31,122.9,123.51,-1.17,43900000
1981-08-28,5,124.08,0.0,125.09,122.85,124.08,0.46,38020000
1981-08-31,1,122.79,0.0,125.58,122.29,122.79,-1.05,40360000
1981-09-01,2,123.02,0.0,123.92,121.59,123.02,0.19,45110000
1981-09-02,3,123.49,0.0,124.58,122.54,123.49,0.38,37570000
1981-09-03,4,121.24,0.0,124.16,120.82,121.24,-1.86,41730000
1981-09-04,5,120.07,0.0,121.54,119.24,120.07,-0.97,42760000
1981-09-08,2,117.98,0.0,120.12,116.85,117.98,-1.77,47340000
1981-09-09,3,118.4,0.0,119.49,116.87,118.4,0.35,43910000
1981-09-10,4,120.14,0.0,122.18,118.33,120.14,1.45,47430000
1981-09-11,5,121.61,0.0,122.13,119.29,121.61,1.21,42170000
1981-09-14,1,120.66,0.0,122.0,119.67,120.66,-0.79,34040000
1981-09-15,2,119.77,0.0,121.77,119.27,119.77,-0.74,38580000
1981-09-16,3,118.87,0.0,120.0,117.89,118.87,-0.76,43660000
1981-09-17,4,117.15,0.0,119.87,116.63,117.15,-1.47,48300000
1981-09-18,5,116.26,0.0,117.69,115.18,116.26,-0.77,47350000
1981-09-21,1,117.24,0.0,118.07,115.04,117.24,0.84,44570000
1981-09-22,2,116.68,0.0,118.19,115.93,116.68,-0.48,46830000
1981-09-23,3,115.65,0.0,116.68,113.6,115.65,-0.89,52700000
1981-09-24,4,115.01,0.0,117.47,114.32,115.01,-0.56,48880000
1981-09-25,5,112.77,0.0,114.69,111.64,112.77,-1.99,54390000
1981-09-28,1,115.53,0.0,115.83,110.19,115.53,2.39,61320000
1981-09-29,2,115.94,0.0,117.75,114.75,115.94,0.35,49800000
1981-09-30,3,116.18,0.0,117.05,114.6,116.18,0.21,40700000
1981-10-01,4,117.08,0.0,117.66,115.0,117.08,0.77,41600000
1981-10-02,5,119.36,0.0,120.16,117.07,119.36,1.91,54540000
